# lattice-music genre authority map (genre_tidy.py)
# Format:  Artist<TAB>Genre<TAB>Second Genre<TAB>...   (tab-separated)
#   - Every genre on the line is ALLOWED for that artist; albums tagged
#     with any of them are left untouched.
#   - The FIRST genre is the fix target: `apply` retags any album whose
#     genre is NOT on the line to that first genre.
#   - `build` lists every genre an artist currently uses, so `apply`
#     changes nothing until you edit. To tidy, REMOVE a stray genre from a
#     line and its albums collapse to the first genre; reorder to retarget.
#   - Leave only the artist (no genres) to skip that artist entirely.
#   - Lines starting with # are comments.

Black Star	Boom Bap
Blacklisted	Hardcore
Bladee	Cloud Rap
Blind Pilot	Indie Folk
blink‐182	Pop Punk
Blu	Jazz Rap
Blu & Exile	Jazz Rap
Boards of Canada	IDM
Bob Dylan	Singer-Songwriter
Bob Marley & The Wailers	Reggae
bobby raps & corbin	R&B
Bohren & der Club of Gore	Jazz
Boldy James & Conductor Williams	Coke Rap
Boldy James & Harry Fraud	Coke Rap
Boldy James & Real Bad Man	Coke Rap
Boldy James & Rome Streetz	Coke Rap
Boldy James & The Alchemist	Coke Rap
Boldy James / Sterling Toles	Coke Rap
Bone Thugs‐n‐Harmony	Midwest Rap
BONES	Cloud Rap
Bonez MC	Non-English Rap
Bonnie 'Prince' Billy	Alternative Country
Booba	Non-English Rap
Boosie Badazz	Southern Rap
Boosie Badazz & YoungBoy Never Broke Again	Southern Rap
Botch	Metalcore
Boy Rex	Emo
brakence	Alternative Pop
Brand New	Emo
Brent Faiyaz	R&B
Brian Eno	Ambient
Bright Eyes	Indie Folk
Bring Me the Horizon	Deathcore	Metalcore
BROCKHAMPTON	Alternative Rap
Brody Dalle	Alternative Rock
Brother Ali	Alternative Rap
Bruiser Wolf	Midwest Rap
Bryson Tiller	R&B
Built to Spill	Indie Rock
Burial	Future Garage
Busdriver	Abstract Hip Hop
C. Tangana	Latin
Cam'ron	The Diplomats
Cam’ron & Vado	The Diplomats
Cannibal Ox	Abstract Hip Hop
Capdown	Punk Rock
Capone‐N‐Noreaga	Mafioso Rap
Car Seat Headrest	Indie Rock
Cardi B	Trap
Catch 22	Punk Rock
CB	Drill
Ceephax Acid Crew	Acid Techno
Central Cee	Drill
Chance the Rapper	Midwest Rap
Charli xcx	Pop	Alternative Pop	Hyperpop
Chase USA	Grunge Rap
Chat Pile	Metal
Chef Boy, YG, E-40, & Mozzy	Gangsta Rap
Chelsea Wolfe	Darkwave	Doom Metal	Trip Hop	Folk
Chief Keef	Drill
Chill Rob G	Boom Bap
Chino XL	East Coast Rap
Choking Victim	Punk Rock
Chri$tian Gate$	Alternative Rap
Chris Brown	R&B
Chris Stapleton	Country
Christopher Larkin	OST
Chromatics	Alternative Pop
Chronixx	Reggae
Chumbawamba	Punk Rock
Cindy Lee	Indie Rock
Circa Survive	Post-Hardcore
Circle Takes the Square	Skramz
City Morgue	Trap Metal
Clams Casino	Instrumental Hip Hop
Clavish	UK Rap
Clinton Sparks & Eminem	Hardcore Hip Hop
clipping.	Horrorcore
Clipse	Mafioso Rap
Clipse with Re-Up Gang	Mafioso Rap
Comadre	Skramz
Comeback Kid	Hardcore
Comethazine	Soundcloud Rap
Common & Pete Rock	Jazz Rap
Company Flow	Abstract Hip Hop
Conor Oberst	Alternative Country
Converge	Metalcore
Conway	Hardcore Hip Hop
Conway the Machine	Hardcore Hip Hop
Conway the Machine & Big Ghost Ltd	Hardcore Hip Hop
Cool Calm Pete	Alternative Rap
Copeland	Emo
Corbin	R&B
Cordae	Alternative Rap
CORPSE	Trap Metal
CORPSE & Night Lovell	Trap Metal
CORPSE & Savage Ga$p	Trap Metal
Corrupt Vision	Punk Rock
Coyote	Gangsta Rap
Crime in Stereo	Emo
CRIMEAPPLE & Big Ghost Ltd	Coke Rap
Cro-Mags	Hardcore
cropscropscrops & Vaygrnt	Abstract Hip Hop
Cult Leader	Sludge Metal
Cult of Luna	Metal
Cult of the Damned	UK Rap
Current Value	Drum & Bass
Cursive	Emo
Cypress Hill	Gangsta Rap
CZARFACE	Boom Bap
CZARFACE & MF DOOM	Boom Bap
D‐Block	Hardcore Hip Hop
D12	Hardcore Hip Hop
d4vd	R&B
DaBaby	Southern Rap
Dads	Emo
Dallas xy	Trap
Damian Jr. Gong Marley	Reggae
Damien Rice	Indie Folk
Dance Gavin Dance	Post-Hardcore
Danger Incorporated	Cloud Rap
Danger Mouse	Alternative Rap
Danger Mouse & Black Thought	Boom Bap
Daniel Son & Futurewave	Coke Rap
Danny Brown	Experimental Hip Hop
Das Racist	Alternative Rap
Dashboard Confessional	Emo
Daughters	Industrial
Dave	UK Rap
Dave & Fredo	UK Rap
Dave East	East Coast Rap
Dave Simon, 999999999 & Robert S (PT)	Techno
David Bowie	Art Rock
Days N’ Daze	Folk Punk
dBridge	Drum & Bass
De La Soul	Jazz Rap
Dead Celebrity Status	Nu Metal
Dead Kennedys	Hardcore
Dead Rejects	Punk Rock
Deafheaven	Metal
Deante Hitchcock	Conscious Hip Hop
Death Cab for Cutie	Indie Rock
Death Grips	Experimental Hip Hop
Defeater	The Wave
Deftones	Nu Metal	Alternative Rock
Deltron 3030	Alternative Rap
Deniro Farrar	Cloud Rap
Denzel Curry	Hardcore Hip Hop	Southern Rap
Denzel Curry X Kenny Beats	Hardcore Hip Hop
Derek Wise	Northern Rap
Descendents	Pop Punk
Desiigner	Trap
Destroyer	Indie Rock
Digga D	Drill
Diggy Graves	Horrorcore
Dillinger Four	Orgcore
Diplo x CL x RiFF RAFF x OG Maco	Trap
DJ Blyatman	Hardbass
DJ Blyatman & Russian Village Boys	Hardbass
Dj Drama	Trap
DJ Drama & Lil Wayne	Southern Rap
DJ Drama, Young Jeezy	Trap
DJ Dremond	Midwest Rap
DJ Green Lantern	Hardcore Hip Hop
DJ Khaled, Future & Lil Baby	Southern Rap
DJ Muggs & Rome Streetz	East Coast Rap
DJ Muggs & T.F	Boom Bap
DJ Quik	G-Funk
DJ Shadow	Trip Hop
DJ Shadow featuring Run the Jewels, Denzel Curry & TiaCorine	Hardcore Hip Hop
DJ Sin-cero & Bad Bunny	Latin
DJ Smallz presents 50 Cent	Gangsta Rap
DJ Snat	Hardbass
DMX	Hardcore Hip Hop
DMX, Joyner Lucas	Hardcore Hip Hop
Domani	Southern Rap
Doomriders	Metal
Dowsing	Emo
Dr. Dre	G-Funk
Dr. Yen Lo	Abstract Hip Hop
Drake	Northern Rap
Drake & Future	Trap
Drakeo the Ruler	Gangsta Rap
Drakeo the Ruler feat. Earl Sweatshirt & 03 Greedo	Gangsta Rap
Drive-By Truckers	Country
Drug Church	Post-Hardcore
Dry Cleaning	Post-Punk
Duke Ellington & John Coltrane	Jazz
Dustin Kensrue	Country
dvsn	R&B
Earl Sweatshirt	Abstract Hip Hop
Earl Sweatshirt & The Alchemist	Abstract Hip Hop
Earl Sweatshirt, MIKE & SURF GANG	Abstract Hip Hop
Earth Crisis	Metalcore
earthsignchels	Alternative Rap
EDEN	Alternative Pop
edIT	IDM	Glitch Hop
El‐P	Abstract Hip Hop
Elcamino	Coke Rap
Electric President	Indie Rock
Elliott Smith	Indie Folk
Elucid	Abstract Hip Hop
Emarosa	Post-Hardcore
Eminem	Hardcore Hip Hop	Boom Bap	Horrorcore
Eminem/Eminem	Horrorcore
Emma Goldman	Skramz
Emotional Oranges	R&B
END	Metalcore
End of a Year	Post-Hardcore
Ennaria	Hyperpop
envy	Skramz
Eric B. & Rakim	Boom Bap
Escape from the ZOO	Punk Rock
Escape the Fate	Post-Hardcore
EsDeeKid	UK Rap
Eskmo	Glitch Hop
Ethel Cain	Slowcore
Ethereal Shroud	Black Metal
Eto x Superior	Coke Rap
Eve 6	Pop Punk
Every Time I Die	Metalcore
Excision & Downlink	Dubstep
Explosions in the Sky	Post-Rock
Eyedea & Abilities	Alternative Rap
Fabolous	East Coast Rap
Fall Out Boy	Pop Punk
Fat Joe	East Coast Rap
FATBOI SHARIF & Roper Williams	Abstract Hip Hop
Father	Trap
Father John Misty	Indie Folk
FBG Duck	Drill
Feed Me	Dubstep
Fennesz	Ambient
Fetty Wap	Trap
FKA twigs	Alternative Pop
FLASCH	Southern Rap
Flatbush ZOMBiES	East Coast Rap
Flee Lord	Coke Rap
Fleet Foxes	Indie Folk
Fleetwood Mac	Rock
Flume & JPEGMAFIA	Experimental Hip Hop
Flying Lotus	IDM
Foxing	Emo
Frank Ocean	R&B
Frank Turner	Folk Punk
Freddie Gibbs	Gangsta Rap	Hardcore Hip Hop
Freddie Gibbs & Madlib	Hardcore Hip Hop
Freddie Gibbs & The Alchemist	Hardcore Hip Hop	Gangsta Rap
Fredo	UK Rap
Freeway & Jake One	East Coast Rap
Frightened Rabbit	Indie Rock
FromSoftware	OST
FromSoftware Sound Team	OST
Fugazi	Post-Hardcore
Full of Hell	Grindcore	Powerviolence
Future	Trap
Future & Metro Boomin	Trap
Future & Zaytoven	Trap
G Herbo	Drill
G Jones	IDM
G‐Unit	Gangsta Rap
G-Unit & 50 Cent	Gangsta Rap	Hardcore Hip Hop
Gang Starr	Boom Bap
GAWNE & Atlus	Alternative Rap
Geese	Indie Rock
Genius/GZA	East Coast Rap
Gesaffelstein	Techno
Ghostemane	Trap Metal
Ghostface Killah	Mafioso Rap
Giggs	UK Rap
Giles Corey	Slowcore
Glassjaw	Post-Hardcore
Global Communication	Ambient
Glokk40Spaz	Plugg
Godhand	Metal
Godspeed You Black Emperor!	Post-Rock
Godspeed You! Black Emperor	Post-Rock
Gojira	Metal
Gopnik McBlyat	Hardbass
grandson	Alternative Rock
Griselda	Mafioso Rap
GRiZ	Glitch Hop
GRÓA	Post-Punk
Gucci Mane	Trap
GZA/Genius	East Coast Rap
Gzuz	Non-English Rap
Haftbefehl	Non-English Rap
Hammock	Post-Rock
Hans Zimmer	OST
Hard Bass School	Hardbass
Have a Nice Life	Post-Punk
Have Heart	Hardcore
HAZEY	Drill
Headie One	UK Rap	Drill
Headie One & Fred again..	Drill
Headie One & K‐Trap	UK Rap
HEALTH	Industrial
Heems	Alternative Rap
Helena Hauff	Techno
Heltah Skeltah	Hardcore Hip Hop
Henryk Górecki; Dawn Upshaw, London Sinfonietta, David Zinman	Classical
Hermit and the Recluse	Abstract Hip Hop
Himanshu	Alternative Rap
Hit-Boy & The Alchemist	Jazz Rap
Honey Harper	Country
horsegiirL	Alternative Pop
Hot Mulligan	Emo
Hot Water Music	Orgcore
Hotel Books	Emo
How to Destroy Angels	Post-Industrial
I Hate Models	Techno
I Prevail	Metalcore
IAM	Non-English Rap
IDK	Alternative Rap
IDK & Joey Valence & Brae	Alternative Rap
Iglooghost	IDM
Ill Bill	Horrorcore
Ill Conscious × Finn	Boom Bap
illuminati hotties	Indie Rock
Immortal Technique	Hardcore Hip Hop
Injury Reserve	Experimental Hip Hop
Inpatient, REN & Chris Webby	Alternative Rap
Isaiah Rashad	Conscious Hip Hop
Isles & Glaciers	Post-Hardcore
J Dilla	Instrumental Hip Hop
J. Cole	Southern Rap
J. Cole & Kendrick Lamar	Southern Rap
Jack Johnson	Singer-Songwriter
Jack M. Senff	Indie Folk
Jack White	Garage Rock
Jack's Mannequin	Emo
James Blake	IDM
Jarren Benton	Hardcore Hip Hop
Jarrod Alonge	Comedy Rock
Jason Isbell	Country
Jawbreaker	Orgcore
Jay-Z	East Coast Rap	Mafioso Rap
Jay-Z & Kanye West	Mafioso Rap
Jazz Cartier	Northern Rap
Jeff Buckley	Alternative Rock
Jeff Rosenstock	Orgcore
Jeremih	R&B
Jhené Aiko	R&B
JID	Alternative Rap
Jim Jones	The Diplomats
Jimmy Eat World	Emo
Jin Dogg	Non-English Rap
Jlin	IDM
JMSN	R&B
Joe Strummer & the Mescaleros	Rock
Joey Bada$$	Boom Bap
Joey Cape & Tony Sly	Orgcore
Joey Valence & Brae	Alternative Rap
Johann Sebastian Bach	Classical
Johann Sebastian Bach; Angela Hewitt	Classical
Johann Sebastian Bach; Glenn Gould	Classical
John Coltrane	Jazz
Johnny Cash	Country
Jonny Craig	R&B
Joy Division	Post-Punk
Joyce Manor	Emo
JPEGMAFIA	Experimental Hip Hop
JPEGMAFIA & Danny Brown	Experimental Hip Hop
Judas Priest	Metal
Juelz Santana	The Diplomats
Juice WRLD	Melodic Trap	Freestyle
Juicy J & Project Pat	Memphis Rap
July Talk	Indie Rock
Justice	EDM
Justice & Logic	EDM
Jóhann Jóhannsson	Neoclassical
k‐os	Northern Rap
K.A.A.N.	Conscious Hip Hop	Abstract Hip Hop	Alternative Rap	Boom Bap
K.A.A.N. & Big Ghost Ltd	Conscious Hip Hop
K.A.A.N. & D-Ace	Conscious Hip Hop
K.A.A.N. & Dem Jointz	Boom Bap	Conscious Hip Hop
K.A.A.N. & DJ Hoppa	Alternative Rap	Conscious Hip Hop	Experimental Hip Hop
Ka	Abstract Hip Hop
Kacey Musgraves	Country
Kanye West	Midwest Rap	Alternative Pop	Experimental Hip Hop
Kay Flock	Drill
Keaton Henson	Indie Folk	Neoclassical
Kendrick Lamar	Conscious Hip Hop	Jazz Rap
Kenny Mason	Grunge Rap
Kero Kero Bonito	Pop
Kevin Gates	Trap
Kevin Morby	Indie Folk
Kheyzine	Boom Bap
KIDS SEE GHOSTS	Experimental Hip Hop
Kill the Noise	Dubstep
Killswitch Engage	Metalcore
King	Southern Rap
King Geedorah	Abstract Hip Hop
King Krule	Post-Punk
King Von	Drill
Knife Party	Dubstep
Knocked Loose	Metalcore
knola	Emo
Knoll	Grindcore
Kobosil	Techno
Kode9 + The Space Ape	Dubstep
KOHH	Non-English Rap
Kool G. Rap & D.J. Polo	Mafioso Rap
Korn	Nu Metal
Kraftwerk	IDM
Kuniva	Hardcore Hip Hop
Kuniva & Swifty McVay	Hardcore Hip Hop
La Dispute	The Wave
Lagwagon	Punk Rock
Lakutis	Abstract Hip Hop
Landon Tewers	Alternative Pop
Latterman	Orgcore
Laura Stevenson	Indie Folk
Lauryn Hill	R&B
Leatherface	Orgcore
Led Zeppelin	Rock
Leeway	Hardcore
Lefty Gunplay	Gangsta Rap
Leftöver Crack	Punk Rock
Leftöver Crack / Citizen Fish	Punk Rock
Leif Vollebekk	Indie Folk
Lenny Grant (aka Uncle Murda)	Hardcore Hip Hop
Leonard Cohen	Singer-Songwriter
letlive.	Post-Hardcore
letterstoyou	Skramz
Lil B	Cloud Rap
Lil Baby & Lil Durk	Trap
Lil Boosie	Southern Rap
Lil Durk	Trap	Drill
Lil Peep	Soundcloud Rap
Lil Spook	R&B
Lil Tjay	Drill	Trap
Lil Ugly Mane	Memphis Rap	Experimental Hip Hop
Lil Uzi Vert	Trap
Lil Wayne	Southern Rap
Lil Wayne & Juelz Santana	Southern Rap
Limp Bizkit	Nu Metal
Listener	Indie Rock
Little Simz	Conscious Hip Hop
LL Cool J	Hardcore Hip Hop
Lloyd Banks	East Coast Rap
LoDeck & The Golden Godz	Boom Bap
Loma Prieta	Skramz
Lomiiel	Non-English Rap
Low Roar	Post-Rock
LSD	Pop
Ludacris	Southern Rap
Ludwig Göransson	OST
Luna	Indie Rock
Lupe Fiasco	Conscious Hip Hop
M1llionz	Drill
Maassai	Abstract Hip Hop
Mac Miller	Alternative Rap	Alternative Pop
Mach‐Hommy	Abstract Hip Hop
Machine Girl	Breakcore
Madlib	Instrumental Hip Hop
Madonna	EDM
Madvillain	Abstract Hip Hop
Main Attrakionz	Cloud Rap
Makaveli	G-Funk
Make Do and Mend	The Wave
Manchester Orchestra	Indie Rock
Mandolin Orange	Country
Mantits + Johnny Hobo and the Freight Trains	Folk Punk
Marilyn Manson	Metal
Mark Morgan	OST
Mase	East Coast Rap
Massive Attack	Trip Hop
Mastadon	Dubstep
MASTER BOOT RECORD	Metal
Matrixxman & Echologist	Techno
MAVI	Abstract Hip Hop
Max Richter	Neoclassical
Maxo	Abstract Hip Hop
Mazza_l20	UK Rap
McCafferty	Emo
Meek Mill	East Coast Rap
Merchant Ships	Skramz
Mercy Union	Orgcore
Meshuggah	Progressive Metal
Metallica	Metal
Method Man	Hardcore Hip Hop
Method Man & Redman	Hardcore Hip Hop
mewithoutYou	Post-Hardcore
Meyhem Lauren & DJ Muggs	East Coast Rap
MF DOOM	Abstract Hip Hop
Michael Jackson	Pop
Mick Gordon	OST
Mickey Diamond	Boom Bap
Microwave	Post-Hardcore
Midwest Pen Pals	Emo
Miguel	R&B
MIKE	Abstract Hip Hop
Mike Posner	Pop
Miles Davis	Jazz
Miles Davis & Robert Glasper	Jazz
Militarie Gun	Post-Hardcore
Milo	Abstract Hip Hop
Mindless Self Indulgence	Industrial
Minor Threat	Hardcore
Mischief Brew	Folk Punk
Mobb Deep	Hardcore Hip Hop
Modern Baseball	Emo
Modern Life Is War	Hardcore
Modest Mouse	Indie Rock
Mogwai	Post-Rock
Mom Jeans.	Emo
Moody Good	Dubstep
Moor Mother & billy woods	Abstract Hip Hop
Mos Def	Boom Bap
Mount Eerie	Slowcore
Moving Mountains	Post-Rock
Mozzy	Gangsta Rap
Mr. Muthafuckin’ eXquire	East Coast Rap
Muse	Alternative Rock
Mutoid Man	Metal
My Bloody Valentine	Shoegaze
My Chemical Romance	Emo
Münki	Trap Metal
Nails	Powerviolence
Nas	Boom Bap
Nas & DJ Green Lantern	Boom Bap
Nas & DJ Premier	Boom Bap
Natia	Hardcore Hip Hop
Navy Blue	Abstract Hip Hop
Necessary Response	Industrial
Necro	Horrorcore
Necro & Ill Bill	Horrorcore
Necro, Ill Bill	Horrorcore
Nelly	Midwest Rap
Neurosis	Sludge Metal
Neutral Milk Hotel	Indie Folk
Nicholas Craven & Boldy James	Coke Rap
Nick Drake	Indie Folk
Nickelus F	Alternative Rap
Nicki Minaj	Hardcore Hip Hop
Night Gaunts	Punk Rock
Night Gaunts / Days N’ Daze	Folk Punk
Night Lovell	Cloud Rap
Nils Frahm	Neoclassical
Ninajirachi	Alternative Pop
Nine Inch Nails	Industrial
Nine Inch Noize	Techno
Nipsey Hussle	Gangsta Rap
Nirvana	Grunge
NLE Choppa	Trap
No Cure	Hardcore
No Doubt	Pop
No Use for a Name	Punk Rock
NOFX	Punk Rock
NOFX / Rancid	Punk Rock
NOFX vs. Frank Turner	Punk Rock
Noisia	Drum & Bass
Norma Jean	Metalcore
Nothing	Shoegaze
Notorious B.I.G.	East Coast Rap
Oathbreaker	Metal
Obie Trice	Hardcore Hip Hop
Odd Future	Alternative Rap
Offspring	Punk Rock
Ol’ Dirty Bastard	Hardcore Hip Hop
Old Gray	Skramz
Old Gray / Tiny Moving Parts	Skramz
Old Man Gloom	Sludge Metal
Oliver Tree	Alternative Pop
Olivia Rodrigo	Pop
Oneohtrix Point Never	Ambient
Only the Family	Drill
Only the Family & Lil Durk	Drill
Open Mike Eagle	Abstract Hip Hop
Operation Ivy	Punk Rock
Opeth	Progressive Metal
Opiuo	Glitch Hop
Orchid	Skramz
Organized Konfusion	Boom Bap
oso oso	Emo
Our Lady Peace	Alternative Rock
OutKast	Southern Rap
Oxxxymiron	Non-English Rap
P. Diddy & The Bad Boy Family	East Coast Rap
Palace Brothers	Alternative Country
Palace Music	Alternative Country
Panic! at the Disco	Pop Punk
Paris Texas	Grunge Rap
Park Jefferson	Emo
Pat the Bunny	Folk Punk
Paul Wall	Southern Rap
Pavement	Indie Rock
Pete Rock & CL Smooth	Boom Bap
pg.99	Skramz
Phoebe Bridgers	Indie Folk
Photek	Drum & Bass
Pianos Become the Teeth	The Wave	Emo
Pierce the Veil	Post-Hardcore
Pink Floyd	Art Rock
PinkPantheress	Pop
Pixies	Alternative Rock
Playboi Carti	Plugg	Rage	Trap
Plies	Southern Rap
PNL	Non-English Rap
Pooh Shiesty	Trap
Pop Smoke	Drill
Poppy	Metalcore
Portishead	Trip Hop
Potter Payper	UK Rap
Pouya	Southern Rap
Pouya & Fat Nick	Southern Rap
Pouya & Ghostemane	Southern Rap
PR SAD	Drill
Preservation	Abstract Hip Hop
Preservation x Gabe ’Nandez	Abstract Hip Hop
Pretty Lights	Trip Hop
PRhyme	Midwest Rap
Prince	R&B
Prince Daddy & The Hyena	Emo
Prodigy	Hardcore Hip Hop
Prof	Midwest Rap
Prof with That Mexican OT & 2 Chainz	Midwest Rap
Project Wyze	Nu Metal
Proof	Hardcore Hip Hop
Propagandhi	Orgcore
Public Enemy	Hardcore Hip Hop
Puff Daddy & the Family	East Coast Rap
PUP	Orgcore
Purple Mountains	Country
Pusha T	Mafioso Rap
QB Finest	East Coast Rap
Queen	Rock
Quelle Chris	Abstract Hip Hop
R. Kelly	R&B
R.A.P. Ferreira	Abstract Hip Hop
Radiohead	Art Rock
Rae Sremmurd	Trap
Raein	Skramz
Raekwon	Mafioso Rap
Ramshackle Glory	Folk Punk
Rancid	Punk Rock
Ransom	Coke Rap
Ransom x Boldy James x Nicholas Craven	Coke Rap
Ras Kass	Boom Bap
RATKING	Experimental Hip Hop
RAYE	Pop
Red City Radio	Orgcore
Redman	Hardcore Hip Hop
Refused	Post-Hardcore
Regional Justice Center	Powerviolence
Rich Gang	Trap
Rich the Kid	Trap
Rick Ross	Southern Rap
Ricky Eat Acid	Ambient
Rico Nasty	Trap
RiFF RAFF	Alternative Rap
Rise Against	Melodic Hardcore
RJD2 & Supastition	Boom Bap
Rob Zombie	Industrial
Robert Glasper	Jazz
Robert Glasper Experiment	R&B
Robert Glasper × KAYTRANADA	R&B
Roc Marciano	East Coast Rap
Roc Marciano & The Alchemist	East Coast Rap
Rome Streetz	East Coast Rap
ROSALÍA	Pop
Royce da 5′9″	Midwest Rap
Run the Jewels	Hardcore Hip Hop
Run‐D.M.C.	Old School Hip Hop
Rusko	Dubstep
Russian Circles	Post-Rock
Ruston Kelly	Country
Rx Papi & Gud	Experimental Hip Hop
RXK Nephew	Experimental Hip Hop
RXK Nephew & Harry Fraud	Experimental Hip Hop
RXKNephew	Experimental Hip Hop
Ryuichi Sakamoto	Neoclassical
Sailor Heart	Emo
Sankofa & MIGHTYHEALTHY	Boom Bap
Saosin	Post-Hardcore
Sara Landry	Techno
Saweetie	Trap
Scarlxrd	Trap Metal
Scru Face Jean	Midwest Rap
Seahaven	Emo
Sean Leon	Northern Rap
Sean Price	Boom Bap
Secret Circle	Alternative Rap
Self Defense Family	Post-Hardcore
Sewerslvt	Breakcore
Shakey Graves	Indie Folk
Shark & LaMagieDuTiel	Non-English Rap
Sheck Wes	Trap
Sheff G	Drill
Shoreline Mafia	Trap
Shoreline Mafia, OhGeesy & Fenix Flexin	Trap
SHREDDERS	Hardcore Hip Hop
Silver Jews	Indie Rock
Silverchair	Grunge
Sincere Engineer	Pop Punk
Single Mothers	Post-Hardcore
Skee Mask	IDM
Skepta	UK Rap
Skrillex	Dubstep
Skyzoo	Boom Bap
Slaves	Post-Hardcore
Slayer	Metal
Sleeping With Sirens	Post-Hardcore
Slick Rick	Old School Hip Hop
Slint	Post-Rock
Slipknot	Nu Metal
Smidley	Indie Rock
Smile Empty Soul	Alternative Rock
Sniff , Caneva & Hush One	UK Rap
Snoop Doggy Dogg	G-Funk
Snow	Reggae
Sonder	R&B
Sorority Noise	Emo
SosMula	Trap Metal
Soul Glo	Hardcore
Soundgarden	Grunge
Source Direct	Drum & Bass
Space Laces	Dubstep
SpaceGhostPurrp	Memphis Rap
Spacemen 3	Drone
Spanish Love Songs	Orgcore
Spark Master Tape	Experimental Hip Hop
Spinnerette	Alternative Rock
Spooky Black	R&B
Spoon	Indie Rock
Squarepusher	IDM
St. Vincent	Indie Rock
Stabbing Westward	Industrial
Stiffy	Plugg
Stone Sour	Metal
Stone Temple Pilots	Grunge
Stormzy	UK Rap
Stormzy & Fredo	UK Rap
Stove God Cooks	Mafioso Rap
Straylight Run	Emo
Streetlight Manifesto	Punk Rock
Strike Anywhere	Melodic Hardcore
Stu Bangas and Wordsworth	Boom Bap
Sturgill Simpson	Country
Sublime	Reggae
Subtronics	Dubstep
Subtronics & Friction feat. P Money	Dubstep
Subtronics, Hedex & IRAH	Dubstep
